,Name,Calories,Type
1,Leite desnatado,45,100g
2,Iogurte com cereal,48,100g
3,iogurte desnatado,34.5,100g
4,Queijo light branco,100,100g
5,Queijo Camembert,527,100g
6,Queijo Cheddar,374,100g
7,Creme de queijo,305,100g
8,Queijo de cabra,173,100g
9,Queijo Edam,345,100g
10,Queijo emmental,403,100g
11,Queijo fresco,307,100g
12,Queijo Gruyere,357,100g
13,Mozzarella,334,100g
14,Parmesão,393,100g
15,Queijo Provolone,392,100g
16,Ricota,185,100g
17,Roquefort,364,100g
18,Mascarpone,461,100g
19,Albumina,53,100g
20,Ovos de codorna,179,100g
21,Gema,341,100g
22,Vitela Hamburger,230,100g
23,Filé de vitela,148,100g
24,Vitela assada,113,100g
25,Bovino assado,162,100g
26,Pique (vitela),217,100g
27,Braciola (vitela),113,100g
28,Coração (vitela),115,100g
29,Coração (bovino),125,100g
30,Schnitzel (vitela),101,100g
31,Filé ,96,100g
32,Filé (bovino),122,100g
33,Fígado (vitela),131,100g
34,Fígado (bovino),122,100g
35,Perna (vitela),98,100g
36,Perna (bovino),149,100g
37,Salsicha (vitela),267,100g
38,Carpaccio,122,100g
39,Pique (porco),151,100g
40,Coração (porco),88,100g
41,Schnitzel (carne de porco),107,100g
42,Filé (porco),107,100g
43,Fígado (porco),134,100g
44,Perna (porco),275,100g
45,Salsicha (carne de porco),299,100g
46,Coelho,153,100g
47,Presunto cozido,126,100g
48,Presunto ,296,100g
49,Mortadella,309,100g
50,Bacon,558,100g
51,Salame,325,100g
52,Salsicha viena,269,100g
53,Perna (frango),175,100g
54,Peito de frango,111,100g
55,Salsicha (frango),174,100g
56,Pique (ovino),349,100g
57,Coração (ovino),161,100g
58,Cordeiro,280,100g
59,Filé (ovino),113,100g
60,Fígado (ovino),134,100g
61,Perna (ovino),235,100g
62,Cavalinha,165,100g
63,Único,87,100g
64,Merluza,90,100g
65,Salmão,99,100g
66,Anchovas,175,100g
67,Arenque,219,100g
68,Atum em óleo,288,100g
69,Atum,127,100g
70,Caviar,262,100g
71,Sardinhas em óleo,238,100g
72,Bacalhau,74,100g
73,Amêijoas,76,100g
74,Lula,78,100g
75,Lagosta,88,100g
76,Camarão,115,100g
77,Mexilhões,95,100g
78,Ostras,44,100g
79,Polvo,56,100g
80,Acelga,25,100g
81,Alcachofra,33,100g
82,Aipo,21,100g
83,Inhame,114,100g
84,Berinjela,25,100g
85,Brócolis,32,100g
86,Abóbora,26,100g
87,Cebola,38,100g
88,Couve de Bruxelas,45,100g
89,Repolho,24,100g
